"","Player","Pos","Age","Tm","G","GS","FG","FGA","FG.","eFG.","FT","FTA","FT.","AST","STL","BLK","TOV","PS.G","tG","tGS","tFG","tFGA","tFG.","teFG.","tFT","tFTA","tFT.","tAST","tTOV","tPTS","aG","aTS.","aAST.","aTOV.","aUSG.","aVORP","GP","W","L","Min","PassesMade","PassesReceived","Ast","FTAst","SecondaryAst","PotentialAst","AstPtsCreated","AstAdj","AstToPassRatio","AstToPassRatioAdj","PSR"
"60","Paul George","SF",26,"IND",24,24,7.7,17.3,0.442,0.507,4.1,4.5,0.916,3.2,1.8,0.3,3,21.7,24,24,184,416,0.442,0.507,98,107,0.916,76,73,520,24,0.561,15,13.6,27.4,0.8,24,12,12,861,893,1016,76,10,15,145,178,101,8.5,11.3,1.96
"61","Taj Gibson","PF",31,"CHI",28,28,5.5,9.9,0.56,0.56,1.4,2.1,0.655,1.4,0.5,1.1,1.6,12.4,28,28,155,277,0.56,0.56,38,58,0.655,39,45,348,28,0.575,8.3,12.9,19.2,0.5,27,13,14,760,1221,979,39,2,17,69,86,58,3.2,4.8,3.76
"62","Rudy Gobert","C",24,"UTA",30,30,4.3,6.2,0.697,0.697,3.8,5.7,0.673,0.9,0.6,2.7,1.6,12.4,30,30,129,185,0.697,0.697,115,171,0.673,26,49,373,30,0.717,4.3,15.8,15.1,1.9,29,17,12,939,1309,817,26,2,9,66,63,37,2,2.8,4.48
"63","Aaron Gordon","SF",21,"ORL",31,23,4.1,9.6,0.425,0.473,1.2,2,0.59,1.7,0.7,0.5,1.1,10.3,31,23,127,299,0.425,0.473,36,61,0.59,53,33,319,31,0.49,10.8,9.2,20,0,31,13,18,802,690,744,53,8,16,107,127,77,7.7,11.2,2.27
"64","Eric Gordon","SG",28,"HOU",30,8,6,13.7,0.438,0.574,1.9,2.3,0.812,2.8,0.7,0.5,1.8,17.6,30,8,180,411,0.438,0.574,56,69,0.812,84,55,528,30,0.598,14.2,11.1,23.1,0.6,30,22,8,920,685,971,84,6,10,154,202,99,12.3,14.5,1.71
"65","Marcin Gortat","C",32,"WAS",28,28,5.1,8.8,0.58,0.58,1.3,2.2,0.597,1.6,0.5,1.1,1.6,11.5,28,28,142,245,0.58,0.58,37,62,0.597,45,45,321,28,0.589,6.6,14.2,13.9,0.7,28,13,15,1001,1098,647,45,2,13,92,111,61,4.1,5.6,3.79
"66","Jerami Grant","SF",22,"OKC",26,2,2.3,4.6,0.492,0.563,1.2,2.2,0.544,0.5,0.6,0.9,0.5,6.4,26,2,59,120,0.492,0.563,31,57,0.544,12,13,166,26,0.572,3.2,8.2,12.7,0,28,14,14,572,550,469,12,2,7,41,32,21,2.2,3.8,3.78
"67","Danny Green","SG",29,"SAS",21,21,2.6,5.6,0.47,0.637,0.4,0.6,0.75,2,0.8,0.6,0.9,7.5,21,21,55,117,0.47,0.637,9,12,0.75,41,18,158,21,0.646,11.1,12.8,12,0.7,21,17,4,533,590,523,41,3,12,62,92,56,6.9,9.5,4.73
"68","Draymond Green","PF",26,"GSW",28,28,3.8,8.9,0.428,0.496,1.8,2.7,0.658,7.2,2.3,1.3,2,10.6,28,28,107,250,0.428,0.496,50,76,0.658,202,55,298,28,0.526,28.1,16.3,15.8,2.1,28,24,4,917,1729,1337,202,16,40,372,482,257,11.7,14.9,6.33
"69","JaMychal Green","PF",26,"MEM",31,31,3.2,7.4,0.437,0.474,1.9,2.4,0.8,1.3,0.8,0.6,1.3,8.9,31,31,100,229,0.437,0.474,60,75,0.8,39,41,277,31,0.529,7,13.5,14.9,0.5,30,19,11,892,1178,802,39,1,15,76,88,55,3.3,4.7,4.19
"70","Jeff Green","SF",30,"ORL",30,8,3.2,8.3,0.388,0.442,2.1,2.4,0.861,1.4,0.5,0.2,1.2,9.4,30,8,97,250,0.388,0.442,62,72,0.861,41,36,283,30,0.502,8.8,11.3,19.4,-0.4,30,13,17,732,723,736,41,5,10,94,95,56,5.7,7.7,2.6
"71","Blake Griffin","PF",27,"LAC",26,26,7.9,16.5,0.48,0.486,5.2,6.9,0.749,4.7,1,0.5,2.4,21.2,26,26,206,429,0.48,0.486,134,179,0.749,123,63,551,26,0.543,24.2,11,29,1.4,26,19,7,875,1505,1466,123,6,14,214,298,142,8.2,9.4,3.04
"72","James Harden","PG",27,"HOU",30,30,8.1,18.5,0.437,0.519,8.5,10.2,0.839,11.7,1.4,0.3,5.4,27.8,30,30,243,556,0.437,0.519,256,305,0.839,352,161,833,30,0.603,51.8,18.9,33.1,3.3,30,22,8,1102,2001,2459,352,29,51,648,850,432,17.6,21.6,3.17
"73","Maurice Harkless","SF",23,"POR",30,30,5,10.2,0.487,0.551,1.1,1.4,0.791,0.9,1.2,0.7,1.2,12.4,30,30,149,306,0.487,0.551,34,43,0.791,26,37,371,30,0.571,4.3,10.2,17.1,0.4,30,13,17,923,810,697,26,4,14,61,65,44,3.2,5.4,2.45
"74","Tobias Harris","PF",24,"DET",31,31,6.1,13,0.473,0.517,2.2,2.4,0.893,1.7,0.7,0.6,1.5,15.6,31,31,190,402,0.473,0.517,67,75,0.893,54,45,483,31,0.555,8.7,9.4,21.6,0.7,30,14,16,975,1322,1244,53,5,8,119,127,66,4,5,3.02
"75","Andrew Harrison","SG",22,"MEM",30,12,1.9,6.6,0.283,0.333,2.5,3.2,0.784,3.6,1.2,0.6,1.6,6.9,30,12,56,198,0.283,0.333,76,97,0.784,107,49,208,30,0.432,20.8,16.9,16.3,0,29,18,11,778,1292,1438,106,9,31,262,258,145,8.2,11.2,5.47
"76","Gordon Hayward","SF",26,"UTA",23,23,7,16,0.439,0.495,6.1,7,0.87,3.7,1,0.3,2.2,22,23,23,162,369,0.439,0.495,140,161,0.87,86,51,505,23,0.574,19.3,10.4,28.8,1.2,22,14,8,775,978,1194,80,8,14,151,208,102,8.2,10.4,2.33
"77","Gerald Henderson","SG",29,"PHI",27,27,3.6,7.9,0.458,0.514,1.4,1.7,0.822,1.6,0.7,0.2,1,9.4,27,27,97,212,0.458,0.514,37,45,0.822,43,26,255,27,0.55,10.8,10.1,17.2,0,27,7,20,663,548,637,43,1,8,94,107,52,7.8,9.5,2.52
"78","Solomon Hill","SF",25,"NOP",29,21,1.8,4.8,0.374,0.457,1.3,1.6,0.826,1.9,0.9,0.4,1,5.7,29,21,52,139,0.374,0.457,38,46,0.826,55,28,165,29,0.518,9.5,15,10.3,0.3,29,10,19,806,705,640,55,8,14,102,129,77,7.8,10.9,4.38
